"Net_demand","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9"
29867.5,30862.2397531655,29460.1766555825,30498.0275999609,31336.589419884,30274.0378938783,30271.8494209175,30545.6526057504,29707.9042926222,30380.4403443976
32048.875,32106.3454805646,32414.515287636,32872.375601639,32809.9548414509,32598.9628974224,32429.622601608,32536.5913239857,33045.0334995201,32375.3649563552
41346.4583333333,41785.3611988318,42131.6812887447,42060.7804560161,42004.3493854784,41911.6848558246,41642.5122277734,42820.0629054604,41413.4084513806,42660.6887074366
41669.0416666667,42988.8446780367,42932.3743571759,43976.9632882985,43469.8645656456,42700.8848981485,42493.0652683863,42792.6562545042,42319.297454121,43572.4261490676
35995.75,38564.414959741,38824.0192633967,38866.8465818326,38739.9809812956,38362.9753915577,38642.683214342,38745.9210584296,37307.6984756359,38625.7848722205
41202.75,41187.8120704025,42171.9595720629,41392.3205946131,41761.0851088493,42191.765124382,42105.4086028757,41461.5480570303,40700.753230555,42339.4145780432
41076.1458333333,41076.9450948923,42102.2117672876,41601.518227809,42499.2163114872,41376.2472777755,40956.120681833,41133.4436683558,40909.4764414748,41838.5653205933
36779.2916666667,37817.178358729,37257.6537282377,37694.2038386313,37110.1305292721,37308.2309243141,36833.9709017061,37366.8579994231,38314.14652469,37512.1006613413
33008.3958333333,35090.0434237743,35720.7281374086,35734.3700328514,35754.4469343097,35332.5314445384,35249.6019856661,35623.5428864294,35299.7690848128,35314.4439958201
39929.5833333333,41763.5573969068,41083.7296493217,41437.0760352603,41499.7713900663,40561.9313035863,40608.8712472364,41426.7941573971,41222.2338580287,41042.2176433831
41526.2291666667,43549.6985401316,43388.4862082795,44340.2131780574,43390.9333975014,42221.166518597,42706.8471868594,43274.3885184769,42301.5888475224,44340.3442899317
43202.5833333333,43762.8772740911,44222.5490626168,42873.1414807123,43189.1488362483,42931.5935888787,42825.9406881722,43379.6370785352,42957.3866364557,43708.992800935
42081.6458333333,44094.2144811475,44105.3571384539,43359.0630700792,43935.0743141819,42953.9340409414,43903.521497001,43798.3740254536,42732.371421672,44161.7128493547
39314.0208333333,41028.7773061006,41640.5247649872,41470.8664903905,41961.6306042898,40785.3538918235,40904.0019030032,40721.4577837862,40936.463484019,41234.1191850395
31867.7916666667,33395.3958714446,33749.9073469988,33945.2132285483,33507.530099523,33437.2550543386,34128.4787154323,32389.8312195208,33572.5173619726,33550.2233958753
32384.3125,32623.5134180624,32665.2829359474,32851.2991634189,32799.3086387735,31991.2230745805,33069.0387794911,33287.7248169165,32608.8324622133,32933.2856368697
37325.7083333333,40436.1422279472,40553.3573301331,40389.8801679077,40323.5307223552,39769.3829173558,40653.6090213991,40200.7299539076,40139.4199112842,40518.2066294992
39501.8333333333,41081.7400771266,40937.9304920464,41549.5388655113,41357.5388037821,40151.9280504083,41200.6406348879,40493.8355792756,40084.8407876366,41154.0744456632
36310.1458333333,37934.1333396468,38405.2140533181,38471.5609519529,38311.7524700552,38019.7048627113,38686.4515288436,38851.8611859872,37908.6666015376,38303.9171929883
37335.4166666667,38493.406107121,39206.3419022403,37910.6723159862,38368.6212851003,38842.8014542122,39176.851489244,39326.6624507589,38833.0486860224,38487.5965589332
35495.3125,36700.77130335,37433.3780621937,37619.4416935679,38294.5806566843,36712.4534299188,37284.9013496577,37197.456727604,36367.0216835556,37812.8988559875
33249.3125,34984.9224514248,35756.1768495271,35253.8910355464,35183.8651248936,34460.8163059369,35703.6518425249,34287.9068876277,36172.7225093571,35704.8960069221
25689.4583333333,28321.137925487,28399.9169746601,28630.7120905858,28891.4584844206,27654.1138242247,27169.1960770547,27584.9666181081,27630.5030977793,29065.6517213892
31108.375,31316.5552061974,33396.169491222,33533.0420935747,34051.4196319289,32272.2249946845,33902.840260176,30578.1583778417,33178.1900206517,34597.3340735663
38410.125,39542.214986884,39100.9365641503,39345.8127618384,39311.2380116086,37685.2798217989,39100.8203408862,39213.7609049284,38872.8696160388,39616.1141243408
36902.7916666667,38642.8668730095,39568.1314316668,39133.9025649804,38540.6978321875,39262.6618397371,39525.3484859746,39906.3172685389,39099.7746443787,39400.8157872431
35749.3333333333,37475.2304474304,38184.2776885659,36504.7208862168,37087.0117790348,37370.9005053299,38567.8955448386,38460.8956491013,38008.2609178526,38047.5943208625
35974.1458333333,38550.7080717879,38881.8719352076,38557.8756441736,38574.6921224632,37756.817226528,37723.9696956317,37666.8361945088,37996.8686452558,39066.6440865577
31453.375,34413.3901550842,34956.2570004704,34328.0296727109,33523.0375056856,32637.0085217069,33729.1780084171,33456.0009409887,34170.4178183298,34125.8648691815
31908.75,35000.7262178335,33809.0016008035,34396.786296539,34363.98384286,33468.0433655329,34846.3774336142,35208.7034488825,33457.0662116122,35969.9260134718
32418.2083333333,33870.9099969516,34703.5264302539,34939.8791177636,35027.7152012043,34517.3510444252,35101.0939493591,34499.5996382458,34968.2602154106,35713.9295699628
25811.2291666667,30053.8641317274,30729.3071997938,28842.1256566724,29965.7521671571,29858.2173408847,30474.2317774615,28902.0761054538,28741.4336622939,32837.9270993727
35885.375,32915.8232229864,35926.1705329452,36652.6265602603,36627.2020739675,34003.6652181924,37487.9518784322,34405.7179653838,39530.7364285729,35803.2941082213
36437.2291666667,38548.5090131938,39739.9296953914,37321.512736575,38260.0631388595,38549.3611290659,39605.6651172509,39467.071537269,38864.7383006126,39741.7106317601
39712.6875,42247.08527345,40773.4252537173,40185.2613776774,40751.6051684081,40328.3072832975,42695.6822750128,40306.1337202542,40691.2383858727,42290.2739618708
39262.9375,42788.0784659014,42816.7979346696,42766.316590269,43442.2434879033,43199.9168211112,43575.099490732,42858.7477422688,42086.5694665149,43961.02113926
33642,37894.9866791797,36422.7034045425,38163.1974938496,37780.6690277586,36382.6337267853,37113.0809453735,37946.1438669855,37011.0740852139,38687.427335318
36619.6041666667,40031.8584602664,40819.2049834941,39386.9999064429,40511.5103423009,39782.1168004844,40703.8679544882,39710.520753775,40617.3609967673,41077.9093175625
36398.1041666667,40764.3987272932,40945.3386713247,41449.4105036748,41183.5629219319,37972.0865660682,40350.1152372212,41033.4480413037,39351.1522012195,41574.7776758825
41812.5416666667,44339.7539257221,43091.2361462817,42483.9123508049,43365.1138712836,41546.796951323,43761.6005651187,43096.2184019328,43090.8893197048,43393.7919782667
44955.0625,48316.0772893084,48311.9206864213,47449.9183475012,47671.0587065159,47350.8153979624,47260.7516128966,47981.5211198019,47576.1532883495,48409.8765070576
39947.3541666667,41960.1235645098,41524.9350104881,41707.710484148,41390.7790130107,40915.8026810303,41827.8600326969,42759.0467133638,42240.9085038513,41951.6919660195
39516.2083333333,42734.0702965713,42098.7591375143,40986.6801915306,41630.0140037514,40755.2930634837,42209.8537855752,41319.6731764452,42314.6714407247,41472.3469537906
39910.0416666667,42213.3496968165,41269.898786666,41684.3757900939,40958.4977834443,41193.8094546605,41525.3725785357,42116.3308668632,41003.9674624192,41954.5849519805
45408.4791666667,47188.1682599051,48313.1918033152,47503.9611314741,47677.8004829623,46783.8534935369,47882.4160356183,48061.5252090916,47746.9630442061,47832.5085999421
42256.2708333333,45745.449766841,46512.1812475498,45851.2036269865,46026.0787848441,44270.9285407854,45726.5835565822,46368.9391854863,45018.0691147987,45024.7064154332
40008.7916666667,45525.8424311829,44115.9945295688,43451.7966018608,44355.0794441548,42630.3788612821,44301.6363699403,43405.0694817166,44348.5743450599,42856.4777737525
38516.9166666667,41977.6980155778,41866.0736583038,41774.335052384,41559.9784790635,40521.8396871158,42261.9028879364,42112.5992856259,41248.5910278435,42370.8282142332
45221.6041666667,48720.2218901447,46836.3939225132,46799.6206608651,47133.2326588384,44939.7498235613,48637.7217020228,47442.4310888737,46993.5043984405,47903.4114468733
45481,46564.4552105706,46413.0246602254,45633.4423633621,46466.1399822127,46499.135081944,46975.7262028497,47209.2115144269,45863.7651709699,46468.7168292729
40378.5416666667,43225.6759248364,43575.9324456253,43419.8751656859,42304.2145565901,42424.8297077227,43185.7311513661,43202.5689055366,42974.1220053788,43042.1725126036
47154.9166666667,46845.9480005214,49213.2855788008,48756.4207795857,49944.8309302381,49355.9027776874,49398.671125467,48339.5926614388,48391.9130790302,48372.8891297155
45390.5625,50564.6565741461,51824.3387859082,49223.8195809018,50519.544597483,51652.477714469,50673.5238692502,51865.4883569052,49777.3604690244,49221.3902543908
46389.5416666667,49921.8724232674,49514.2518979476,48679.9963850698,49849.5693426496,49417.3244426551,49774.6848152393,49230.5580312835,47672.6981401317,50311.4194851428
46446.625,51050.1400465451,50556.5300303632,48915.5336939061,50062.5631223012,48373.8632038246,49013.8904125036,50138.036199936,48077.6037268773,49728.3773902391
49811.6666666667,53462.5151435613,52716.6302440066,52343.6548876317,51952.6089871052,50499.0524915414,52769.5013065792,53476.895075205,52297.8589957946,52564.0882009459
47523.7083333333,48444.6822828318,50089.2117375895,47799.7381864213,50021.317184312,48890.8438300629,49096.3311383105,49524.2219135697,48127.4528056909,48381.287014661
43471.8958333333,46951.404640486,47108.9093429065,46585.9601867644,46669.1791753378,46650.5947352019,46433.5873845294,47259.831203168,46344.3603944514,46889.6456741974
51836.875,54926.6063131573,54786.3357265357,54106.8805985061,54782.1575715804,54910.9522122584,54022.1732040676,55125.5894681589,53675.0526757995,54611.6745665268
56769.7083333333,57965.6839552886,60171.2566411338,56801.83982076,58144.4874548995,58291.6536913522,58395.3576101315,59033.5030830571,58221.3398192651,58921.0851661754
57592.5833333333,59325.971915037,60293.576786171,59378.301885068,59220.6679550035,59811.1379990156,59633.888538808,60162.32343656,57998.1043747728,60833.3601681361
57416.7291666667,60492.4687489569,60456.2166138838,59542.4300152725,60228.6644304887,59061.1195825732,59598.1007728683,60528.8033777314,58767.8619635019,59965.0930210058
59242.4791666667,62115.7598050346,61839.0873104607,60759.6307973826,61215.1031471717,63578.6715076792,61789.7636606327,62086.5120181947,60411.7115416146,61806.9165440846
53426.7083333333,56016.1472969042,55266.3882972935,55698.3634190638,55446.6674495592,55532.9742920543,55995.8780196983,56450.5520288945,56241.8084463332,55209.1609442865
55187.3958333333,56670.4286878788,56899.9670144517,56652.8134095017,56141.422700973,57486.9178691602,56288.7245420031,57689.6351819323,57877.5267422054,58367.533014508
62918.6666666667,60019.010474902,65687.87108097,65443.291099595,64495.192280298,65955.5475618084,65751.6772310366,66095.8029933937,64474.1970970032,65148.7863895566
63730.3125,66008.9714776463,67568.484286851,67124.3256585426,66077.2025845174,66835.2106898493,67033.6598179796,67034.420788427,65519.947785016,67199.2250918403
63373.1875,65076.3216430921,65631.4095074852,66270.3686796559,65663.9437852746,66102.0267873489,65341.7716371331,66631.4331815264,64807.4522364595,67341.7558478037
65572.1458333333,67982.556258532,68077.4267099549,67900.5908789127,67760.9095357952,68199.5337955497,67883.3571276244,68138.6405095053,67314.7215954532,67884.727211002
64320.4166666667,67167.5156284105,68882.5915305203,67695.8374339219,67888.6313082494,69043.679913687,67003.0519165198,68671.6588522896,67540.0315784471,68233.3688443177
61625.1458333333,65579.8419097587,64622.0998520733,65306.6912693273,63076.6918033396,65258.2158296697,64359.8001730551,65102.5585527891,64355.9393287919,64937.5208119501
62985.6458333333,64961.2328673427,67707.8661122518,66741.5639388182,65256.0339943522,67206.218928855,64583.9808471009,64904.0034725529,65345.0577324779,66080.4796174345
70685.2083333333,62809.3079075327,73324.117877878,73334.8222552161,73054.2541487596,73760.8651153451,72204.5478592723,73791.2194213791,75101.5013147014,73163.0452983318
69177.6666666667,71373.7175306973,74478.4071637956,72482.4622296833,72836.0038239383,74193.2025786314,72288.5753556556,73722.2971447833,74783.6493527761,73669.6899086173
67430.6666666667,68010.5821698092,70671.2801202729,69663.9309534207,69720.8081608249,70706.1156582913,68898.9721639943,70529.5033064178,70658.4573569837,70405.8261807991
64044.7916666667,68126.8589740688,68582.913729242,67477.9977476431,68372.0805011661,68325.7243019425,67214.0710444689,68273.5322509627,68731.2997065016,67796.3074465427
65086.0625,68786.4095160264,69786.5640309452,70182.8977884762,69562.5354266453,70409.7871340664,68913.3199198982,71255.8496826325,69546.478401854,68963.9658519732
65602.0416666667,66742.0145660977,70111.451158154,70241.6464285465,68276.1815475739,69999.4502376291,67695.2358046689,69339.1713848484,68905.5914927145,70088.0438182651
58230.1875,59632.7896519013,62659.5495114893,61058.100191613,62970.2394584432,61907.6158860483,61090.2158070121,62010.3612062585,62019.9973844108,61317.4823319876
49501.4583333333,60391.1016152035,55304.6983157837,56039.671752246,55507.3476000508,54031.1116798269,54661.0680223256,55476.0308930225,56136.3749307786,55186.0331064741
47834.8333333333,50721.6125681242,51484.247494942,51769.722994858,51545.3063818071,51238.1063467956,53053.2816443972,52091.4119989033,48837.315105325,51651.3572215337
47425.3541666667,52095.0062136396,51378.7915735008,49994.170394193,51538.8139885626,49380.0767083725,50975.0389874208,50587.0040790823,48169.9840399896,51576.7008315946
41866.6458333333,46765.4964495069,47113.908754423,45491.3862277207,46773.0758453365,45331.2971317866,46372.0813742507,46830.4260556655,44868.8458781066,45402.2512670562
38276.6666666667,44072.6707253194,44169.7211064103,42751.9180980146,42276.8161077632,40025.2068055815,43733.8821008415,42985.9226522091,42539.2070616298,41536.4769354775
39792.625,44669.1109113083,43590.642860602,40336.4766747904,41195.4885758579,42252.826442662,42893.206889098,43229.8151131148,41677.2517060496,42008.8732380669
36234.5,43028.5726451172,41903.5997811617,40649.8138333644,38525.6804556977,40054.8648414824,41565.0855541293,42069.1550951301,41069.9417460125,41747.9017594127
39819.6041666667,43506.3157008405,43427.6338098471,41899.1659448242,43674.7905677203,44736.4933475369,45371.477853341,43462.5233738837,43869.6661105944,43163.3678880129
45928.4375,49898.2715914777,48688.9968267987,48450.8577056474,49565.4059015119,48452.2344699981,48704.9384732218,48328.8264133339,49962.3425544537,48449.3267324228
38560.6666666667,43912.7403612222,44232.8294192134,43146.7424677807,43683.666606932,43523.3049328531,44793.171390361,43498.5080965747,44284.2823569264,44108.8425152582
39960.5416666667,43600.4342916573,44948.3702863116,42505.5603291404,43218.3963706363,42787.4715556805,44440.7351310577,42436.6269682418,42665.879156295,43580.4863043585
37918.1666666667,41738.9833467508,41849.8611272364,40368.1225213614,40918.4946841749,39952.6522831407,42885.7936637893,39674.8983199732,40606.3167014453,41822.8080893059
29087.9583333333,33885.5912598319,32329.5155310197,31034.2306598174,32992.9146924113,31896.9440908211,33513.7880146353,31934.7947474949,29863.6822650567,30491.1196752709
31844.5833333333,33444.6289154893,30324.5871555117,32221.2948075282,31295.3497756104,30469.2908290647,31816.7006053906,30546.4847945354,32092.7250611499,33006.1376769884
42440.7083333333,44980.2112749304,42689.0281323282,41972.2734870713,43398.7025107939,43218.5409930046,44739.9925911649,44380.6561859679,42946.6000316529,43064.0382913393
47643.5625,50423.6215328744,51092.4716907768,50706.6052188804,51843.2521596301,49763.8644827342,50681.6387001461,50180.1575420542,50472.6367800877,50531.717921417
42026.5,48409.72759472,49317.5421618241,46703.1392760941,47949.5083489266,47687.0358295484,48689.7301419663,49078.0256801157,48611.3504144859,49441.7357380293
47397.3333333333,50205.90103718,50608.3677376838,48287.0359409493,50887.2309606797,47433.0857863257,49844.3452845566,50151.2502015231,48046.2145567153,49466.3233782952
47225.5208333333,51165.0519277347,51974.1459486884,50814.4437382665,50800.8491011454,48615.0417600394,51361.6015248266,51137.8399874255,50629.9398267957,50652.357377599
38291.3541666667,43317.4636197916,45269.9892445147,42743.6959847667,44309.2912968551,43054.4726275118,44315.942413776,44758.9364628206,42608.1242635032,44565.3531994341
38075.75,40662.098027926,41515.5286333813,41376.1960230454,40548.884772323,41124.8943667432,41689.1109207937,41959.0040001932,40781.9556160371,43024.9504113248
44429.7916666667,45214.5025837665,45359.6280231186,46051.8451386515,46164.5038774834,47639.421954453,47688.0127172491,46738.9983905529,44082.6223960861,46006.1821686995
48979.7916666667,52659.4458804656,53854.6629677462,51978.109977233,52364.7480284124,52107.2671961412,53438.6271407554,53388.3892348309,50949.231087173,52119.1262015562
45651.3958333333,50425.5895937899,50983.2189636667,50707.1893119749,49915.7990089627,50306.286151163,51163.2179462376,50686.5539982461,48934.9050917996,53800.6813519045
42880.8958333333,48860.9872774605,48144.7848308808,46280.4641478172,48365.3717470698,46167.070484516,47286.8061955961,48073.9967561889,46207.4117048057,47193.841003421
44328.3125,48520.6396922652,48209.7246342156,46324.5512014296,46999.8247512013,45073.2654106583,48641.8767020189,48682.8516156597,45827.401600484,47557.5517119372
39689.6666666667,42331.0222548038,43843.0129614452,41451.4499851241,44089.6610395939,43579.4462143832,43322.5306773051,43906.1748065332,41743.5634956054,43524.4426429063
38962.3333333333,42662.5559748905,41719.138681941,42899.1395977324,42822.9214724672,43214.6697037747,42812.8562910082,42536.8467805012,40865.07771764,43443.0681677667
50746.625,51799.1891115363,51051.076778881,49884.0095011647,50593.5251784552,51265.6064199661,51843.2879346967,49828.2685996185,46913.5339083294,51024.8942218954
62447.1666666667,64923.3638966359,65987.9722129137,65101.6846286983,63978.364177512,65957.2742819659,64803.4670468149,65338.8107307987,63210.9101812651,65337.4477088867
64377.6458333333,65724.9320097578,66561.7889276053,66213.8256935372,65767.671081064,65683.4595577102,66204.3787015988,66857.4480605276,64608.4454350203,67973.6720832587
67070.9791666667,69541.1008691591,69545.319034762,69232.7187470489,69669.6853605482,69552.9948680784,69536.2496673008,69002.8549751391,68411.4162506341,70335.1529305997
66298.1041666667,66978.1600271251,67882.5338045181,67766.7546748884,67685.6289410227,67802.1927979686,65936.5894560776,68323.5421086337,67133.2306915879,67541.5748405015
58245.5,62117.3675372456,62020.0828154309,61409.3417223554,60070.3374735806,62090.7124727093,61200.0622653664,62194.5830573457,60659.2325236851,61182.1388282502
62490.25,63813.4227129841,64903.1279405717,62543.2326578072,63315.533876856,65257.8812817148,62431.051290192,63683.5246846977,61574.8378874993,64131.5350764015
67615.1875,71008.3595993331,69440.8368858445,69350.4130193871,69364.6308107061,68916.1035448877,69742.8319327269,69686.2895510099,68855.9080118281,69884.1325337818
67373.1875,70317.2271174327,70322.4184906445,69701.4203031258,70799.2813144831,71705.1439996629,70455.4234752557,70976.378323814,70016.9992047291,70563.1607038378
71625.4791666667,71708.087418375,73273.6469167681,72626.0937637957,72714.4644879853,72883.0960540827,72103.6972656523,72840.5105391033,71743.9820245875,72505.2602161915
68463.2708333333,68845.1972636007,70863.6247289633,70094.5688460933,70174.9205996235,71019.3914483917,70450.627934752,70561.1505400898,70498.8007924105,69988.8523987665
63235.8125,66365.14758648,67447.5227068173,65863.3752057491,66447.4837838231,66502.5859914499,66533.2247559861,66960.6107128763,67129.7480896138,67187.4425744791
61212.1666666667,63747.4181204952,65019.8129074465,63558.9001806209,62752.9855940776,64880.0880252604,63704.3841319858,63897.734351495,64088.3818585488,64410.3994973246
61480.9375,64127.3747709321,65300.0750868412,62922.5958075947,63405.985995872,64229.9565695115,62695.1783504012,63877.6064709299,63583.212351888,63939.950200006
63116.625,60289.0328422493,66839.7682244762,66134.0233690772,66740.9389441945,66599.0121700457,67447.795324734,67255.2162134485,66989.3125305154,66125.4991373821
60732.8125,64119.4441414119,64842.8526487536,63827.9134647792,63987.4200492807,64811.1950615706,64783.966779549,64909.3202109959,63705.8156530379,64884.5946545786
56162.3333333333,58472.5778036695,59360.0743275028,58608.2735180597,59058.7034912507,58480.5249355373,58824.7402879587,59889.6592805811,58119.5796217298,60346.6957304367
56593.4791666667,57794.2302290808,58078.4555143958,57186.0401884569,58340.3184153403,57260.3784634552,57751.2302010837,58561.3474314022,56521.3118793897,58695.204247333
55219.8333333333,57485.5766395851,57023.3807516494,57067.6890417137,58077.7547950615,60638.8867282992,57998.7473249247,58314.8516636024,55623.5945046536,58236.9066878233
52522.9583333333,53082.1110987167,53917.869890281,53494.7625432032,53986.1661828196,52945.1690855728,53601.8006762203,53428.5695304027,54519.9035562828,54446.0998685698
46091.1666666667,49741.6730804993,49187.655107539,49774.3162193063,49101.7103053755,50041.2991316481,49966.0516879833,49761.5026563036,49256.5134586265,50706.1303736514
55473.25,58162.6257398622,59925.7746892868,57382.2900209317,58929.442025748,59180.6159992933,58754.9673984798,58860.4002583254,56559.7266361108,59497.5229641416
58059.8541666667,60892.3468469417,63148.5213546454,62137.1775763253,61718.7450768983,62806.3531705354,63149.069831702,62198.3575200284,59817.1987143485,62618.1263070119
63633.4583333333,64831.8058011699,66708.0370645822,64937.1077431526,66279.332541419,66125.9242765878,65710.1548894193,66378.7255590859,63968.4643478004,67568.9064958853
67228.2916666667,68485.1419953934,69415.1237398871,69039.3011891832,69292.8758059878,69258.2920008093,69494.7247906009,68830.8752921106,68647.7926845773,68924.3087065562
64153.375,66187.7298883348,67582.7229317848,66642.0258149744,67094.2232435742,68083.5865551208,66798.8589213392,67752.2222313248,66506.2943329496,66544.9744766718
57244.0416666667,59529.6594602445,58829.3993301358,59013.8874311318,58348.0212032682,59774.403997288,58971.6086376207,58845.6571057021,58808.3450277322,59593.6677053709
52551.0833333333,54954.0364602747,54248.1044807209,53668.2055593437,52710.9267978896,54986.9755468007,54326.9826983312,54711.7745992314,55252.9362060565,54375.1191231252
58590,53997.5354603808,61458.8277219554,59713.0264441948,60237.008304634,61103.5984476083,60710.3998675526,61271.9960423795,59737.2713756429,61464.110030944
58156.2083333333,60302.7499117358,61360.0668160002,60189.4566926591,60481.4413642562,61591.0082803774,60854.0941723494,60562.7107465042,59570.3504381698,61714.6871555208
55974.6041666667,59598.1450108424,59045.2435387011,57936.9093571811,57974.5700707117,58345.9063422744,58351.4142829626,59298.422447616,56673.6154587295,60223.8507107913
52037,56622.7009469088,58023.7214352057,56548.1014837331,57731.4199395762,56567.9441694287,55833.1643174939,57088.8904755296,56164.2779950532,56872.8244808832
47319.25,50725.7737009677,50563.6227389235,49521.0537904211,49192.461213743,48682.5410956056,50017.0426314741,49847.740644368,48992.27302982,49726.3686422347
41617.1041666667,42611.2664380958,45388.8359857886,42407.8543281583,43884.9379964408,42407.2075722242,43020.5574719691,44009.2369677998,41338.1779453008,42352.4259047008
42526.7916666667,43336.9588284711,46629.6641592321,43023.8383147096,44273.4646160682,44434.4020894316,43226.8916067399,43220.2754588966,44410.2191331228,43951.3684574016
51303.125,51861.4315915971,53396.5974020002,52298.5756753822,52423.6943214663,53303.7960511461,53449.0711619105,53850.3660481128,51930.2974815517,52422.5629598861
54184.0208333333,54000.9441375342,55884.6651570827,54002.9061694061,54769.064487095,55421.5884933816,54565.1225543426,56120.3911278247,54766.2590882794,54625.5464957661
53918.2916666667,56936.4999209165,56612.5369480769,55775.5142165223,56123.3669487443,55763.42335152,56391.8169734851,55286.7788279632,55364.5195211718,56975.3586828897
54757.6875,56967.2007757627,56501.1126689652,55538.7101190138,56075.5991957269,55875.1756601825,56095.4015044178,55718.7450606804,55524.2061341174,55643.8828538437
51951.3958333333,56750.7041235073,55638.5014615731,55420.1503303757,54737.450881135,55244.2333233833,55936.7405018845,54547.3180931151,54950.1758548182,54579.5666369871
48022.0416666667,48129.5127523103,49645.7069031284,47773.8405203421,49597.20665252,47952.8204963824,48341.8283244537,48769.6421072743,47479.182911797,49195.220656459
